design_id,design_label,w_cost,w_gwp,w_profit,b,c,r_cruise,r_hover,V_cruise,V_climb,c_charge,TOC_flight,GWP_flight,GWP_annual_ops,Annual_Profit,FoM,FoM_energy_rating,FoM_cost_rating,FoM_co2_rating,FoM_time_rating,Cost_Rating_Norm,GWP_Rating_Norm,Profit_Rating_Norm,Profit_Utility,Utility,Utility_Norm_star_at_design_scenario,AR,CL_cruise,CL_climb,Gamma_deg,SPL_hover,MTOM,m_battery,m_empty,P_req_total_hover,P_req_total_climb,P_req_total_cruise,E_total_req,E_trip,E_hover,E_climb,E_reserve,C_rate_hover,C_rate_climb,C_rate_cruise,C_rate_avg,DOD,n_battery_lifecycle,RPM_hover,FC_a
0,scenario_0,0.0,0.0,1.0,11.49729023904989,1.14972902390499,1.114471261320292,1.6653817065083154,77.86895043312471,52.45781695920256,3.999999999999999,124.83316707620564,57.626604076742595,321580.0796288223,1407149.6814692805,-0.43999357099117575,0.578998164666186,-0.37635538062733154,-0.50363176135502,1.6190165437394948,0.26098985041567496,-0.00013061228950100954,0.9999999534736658,0.8545715419464461,0.8545715419464461,0.9999999534736658,9.999999999999991,0.47330094028176306,1.0389384242357933,5.000000000000003,77.00000232707029,2368.6128702664514,860.8725287026869,1114.9403415637653,601246.2025978923,281235.671459312,200668.32259289298,137739.60459242994,70850.16372813228,10020.770043298206,20571.868560449675,66889.44086429766,2.7936596072078403,1.3067471063718434,0.9323950568862733,1.060687633370075,0.32920164770457555,870.6001453628795,832.7836453044105,5580.4100342363945
1,scenario_1,0.0,0.2,0.8,10.70108742545408,1.0701087425454074,1.106019671478846,1.5326812375756798,70.89671737209983,52.457816959202546,4.0,113.21434457039788,45.777293255842885,239334.61210562458,1379092.5228266318,-0.18562575563273412,0.659409589015155,-0.24378265100215368,-0.18562575563273412,1.597131823925469,0.6475366102070037,0.32202610964724143,0.9661205772783052,0.8193628338148106,0.6183651159253017,0.8373016837520926,10.000000000000005,0.578045159653568,1.0518112761014782,5.0000000000000036,77.00001504158439,2077.336888343353,672.3539392263816,1012.1829491169752,536578.8716358942,244217.111742939,145877.8039454624,107576.63027622107,58950.6956277336,8942.98119393157,17864.029470085352,48625.93464848747,3.192240516971095,1.4529080443787572,0.8678631621512389,1.0242022841738427,0.3507122792829203,892.8922166496236,920.794061037252,5228.238610964107
2,scenario_2,0.0,0.4,0.6,10.291265063232652,1.0291265063232653,1.1292792342034783,1.4643775105387753,65.40533258748971,52.457816959202574,3.234674464920538,105.21513769296514,35.454615214799155,166800.203470215,1278604.6515148121,0.09140922655369996,0.6979021919711598,-0.1525103478020948,0.09140922655369996,1.5766106531934763,0.91366232973035,0.6026770411297305,0.8447801935778293,0.6932613929365763,0.4525205263834257,0.7479389325985898,10.0,0.6833128428370925,1.0582047323186472,5.0,77.00006135083063,1932.9495273056461,580.4319437745518,959.7175835311011,504083.7873113954,225126.49337808485,118843.91871527358,92869.11100392832,53254.47143217045,8401.396455189923,16467.586089693243,39614.63957175786,3.473852827832568,1.5514411003232254,0.8190032956658516,0.9907750741599213,0.36699890144471614,1182.8447943347478,973.0090527241011,4704.611866739164
3,scenario_3,0.0,0.6000000000000001,0.3999999999999999,10.942491288075793,1.0942491288075793,1.1870648750110178,1.5729152146792986,59.607475003886236,52.45781695920257,2.309424494760831,103.74800549373417,27.867455613948522,112368.48165018517,1101787.447266349,0.29502970338247864,0.7192220360740333,-0.1357701213053208,0.29502970338247864,1.5508407253395944,0.9624723702929614,0.8089552376227932,0.6312711687744516,0.4713748713423067,0.3655677705664099,0.7378816100834565,10.0,0.7000006711114635,0.9003755773829641,5.0,73.85925063531388,1859.3853795230004,529.2785124690847,937.3068670539161,442765.54057247215,212282.38485899678,103755.15084711195,84684.56199505356,50099.511712682914,7379.425676207869,15528.063336908097,34585.05028237065,3.3461818694053567,1.604315156258275,0.7841251696623319,0.9443178527481404,0.3786249434458893,1854.792536818872,827.154818601417,4032.247622705149
4,scenario_4,0.0,0.8,0.19999999999999996,11.62625,1.1626249999999998,1.2,1.6868749999999997,55.587275507082175,52.457816959202574,1.2870358433683067,112.35533100102887,22.48666390186188,69619.20724535223,819320.9621563103,0.4394367584296116,0.7286322463390866,-0.2339811609097289,0.4394367584296116,1.5298159659614745,0.6761151440205978,0.9552471397925604,0.2901892925406437,0.11690989654293941,0.37493138605227716,0.8222355703421771,10.000000000000002,0.7000000044100373,0.7830195745743939,5.0,71.19242877116767,1825.4301537572242,502.94413721981755,929.6860165374067,401596.51699441316,208254.39706487505,95292.2846062428,80471.06195517082,48706.96708642322,6693.275283240219,15233.423489004748,31764.0948687476,3.1939651923520938,1.6562825304302535,0.7578756967563115,0.907734883362201,0.3873747677478962,3885.6818356866515,712.573276763889,3096.0220488548234
5,scenario_5,0.0,1.0,0.0,14.393431767585009,1.439343176758501,1.1999999999999997,1.6868749999999997,44.40545983207989,43.5328921468005,1.0,132.67746102931554,20.84046549901804,49389.95193045179,579002.5820796159,0.4836166256495204,0.7290894969878035,-0.46586010116387766,0.4836166256495204,1.434934614666764,1.7931022837834446e-05,1.0000036567861288,1.7896300013551786e-06,-0.1846637521132028,0.4836166256495204,1.0000036567861288,9.999999999999998,0.7000000381119721,0.7243147237798948,6.02855133584815,70.73411577856463,1785.4043944313723,461.8162004162053,930.7881940151668,388460.6265088236,196804.30736598172,75753.8699584064,73890.59206659287,48639.302080457404,6474.34377514706,14395.870631400514,25251.289986135467,3.36463403543426,1.7046115505572526,0.6561386966514754,0.7933390367861085,0.42128710111617484,5968.994736701072,704.7177668841932,2369.9063695472128
6,scenario_6,0.2,0.0,0.8,10.625602372338548,1.0625602372338545,0.9867426789648437,1.5201003953897578,70.2647067110434,52.45781695920258,4.0,112.33224789234336,45.22873406379671,234930.54011518572,1374715.8702629306,-0.23371777873609262,0.661853608247221,-0.23371777873609262,-0.17090379245685347,1.5949333537295471,0.6768830962691011,0.3369402286005702,0.9608357135980383,0.8138706068693959,0.6043529297482982,0.9040451901322509,10.000000000000004,0.5891573017739632,1.0530028325039986,4.999999999999999,77.00000024909609,2050.4535977620494,663.5422241450224,994.1113736170265,530551.6328230825,246251.2800212768,142733.19552081698,106166.75586320362,58589.02402293129,8842.527213718042,18012.825112667466,47577.73184027233,3.198299149729022,1.4844648678602046,0.860431727338705,1.0185802156887902,0.3531894242204317,896.9381334561784,930.0218536571421,5194.276271005242
7,scenario_7,0.2,0.2,0.6000000000000001,10.29848597984855,1.0298485979848548,0.996452319087825,1.4655809966414246,65.93178018259117,52.457816959202596,3.3346372172760983,105.52971366698253,36.61513542141492,174472.51218823183,1293528.1138734194,-0.04791797987507196,0.6925657898803612,-0.15609971286289492,0.060263753112751006,1.5787261225014548,0.903196697485444,0.5711250469964297,0.8628004643338286,0.7119887287010379,0.408026045270594,0.8125446274966719,10.000000000000002,0.6723741768276102,1.0580944316205052,4.999999999999997,77.00006926680365,1935.4612444641637,590.6399626949176,952.0212817692825,504651.88894453837,230693.76355841733,121374.68851641928,94502.39403118682,54044.16452571373,8410.864815742307,16874.82159362497,40458.22950547309,3.417661660697385,1.5623308826299467,0.8219876485337838,0.9921468682553254,0.36600411715540543,1139.397056308947,972.04263582737,4765.038014476083
8,scenario_8,0.2,0.4,0.4,10.367299786692584,1.0367299786692585,1.0205332952500399,1.4770499644487636,63.48038238957713,52.45781695920258,2.6001293477413645,102.98903380959324,31.03264849171397,134798.44577014082,1190203.729750535,0.0976858284642492,0.7045132071509778,-0.12711012604121463,0.21008380571698113,1.5685767545462805,0.9877226093022412,0.7229005989006893,0.7380349553085471,0.5823277701628573,0.29154260514369246,0.7819187435441428,9.999999999999998,0.7000000150132627,1.021176746722906,4.999999999999999,76.28586576085661,1892.9777851180936,562.606753859681,937.5710312584124,484337.503213795,223395.06194383453,113222.76739386664,90017.08061754899,52276.15815292677,8072.291720229917,16340.93508663234,37740.92246462222,3.4435242726189728,1.5882856749320227,0.8049869050957418,0.9747692034422646,0.3716710316347527,1560.4185750519507,946.4444101001733,4343.762209214382
9,scenario_9,0.2,0.6000000000000001,0.19999999999999996,11.097810895647122,1.1097810895647122,1.0516696738058025,1.598801815941187,58.42473831416795,52.45781695920257,1.983269248645897,104.3181499167795,26.126072061647072,98887.82281462081,1032077.2027875237,0.22075418590370557,0.7206736612872296,-0.14227556558815654,0.3417641030676596,1.544955675960051,0.9435042279333455,0.8562996296573502,0.5470951612375129,0.38389603277206535,0.2533825552773775,0.8118996556285819,10.0,0.7000007089251357,0.8649994489232802,5.0,73.07962051835149,1837.4001932583483,523.103028277558,921.4971649807906,427893.81874801224,213688.47596844874,101435.36297989456,83696.48452440929,49884.69686444443,7131.5636458002045,15630.916297692083,33811.78765996486,3.27196590818413,1.634006797261864,0.7756434774533405,0.9321708512584884,0.3814521741822197,2254.5148567303163,795.8392201602953,3785.0244989482203
